id,name,average_rating,rank,min_players,max_players,playing_time,min_playtime,max_playtime,publishers,categories
106,Mystery Rummy: Jack the Ripper,6.94762,1473,2,4,45,45,45,"['U.S. Games Systems, Inc.', 'Eagle-Gryphon Games', 'Edge Entertainment', 'Kaissa Chess & Games', 'Neptuno Games', 'Pegasus Spiele']","['Card Game', 'Murder/Mystery']"
107,Peaceful Resistance,5.72353,Not Ranked,2,3,30,30,30,['D&R Games'],['Abstract Strategy']
108,TAMSK,6.76496,2867,2,2,20,20,20,"['Don & Co.', 'Rio Grande Games', 'Schmidt Spiele']","['Abstract Strategy', 'Real-time']"
109,Wettstreit der Baumeister,6.10616,8882,3,4,45,45,45,"['Historien Spiele Galerie (Historien Spielegalerie)', 'KOSMOS', 'Tilsit']",['City Building']
110,Auf Achse,6.23471,3999,2,6,60,60,60,"['Dino Toys s. r. o.', 'Disk Říčany', 'F.X. Schmid', 'Grow Jogos e Brinquedos', 'Ravensburger', 'REGIO Játék', 'Rhenania Gruppe', 'Schmidt Spiele', 'Vini-Spil']","['Economic', 'Movies / TV / Radio theme', 'Transportation']"
111,Rheinländer,6.65194,2851,3,5,45,45,45,"['Face2Face Games', 'Hasbro', 'Parker Brothers']","['Abstract Strategy', 'Medieval', 'Territory Building']"
112,Condottiere,6.87736,993,2,6,45,20,45,"['Eurogames', '(Unknown)', 'Arclight Games', 'Delta Vision Publishing', 'Descartes Editeur', 'Edge Entertainment', 'Fantasy Flight Games', 'Galakta', 'Giochi Uniti', 'Heidelberger Spieleverlag', 'Hobby World', 'Lautapelit.fi', 'Nexus Editrice', 'Roomiz Games', 'Ubik', 'Z-Man Games']","['Bluffing', 'Card Game', 'Medieval', 'Negotiation']"
113,"Plotters, Inc.",6.72618,6284,4,6,60,60,60,"['Berliner Spielkarten', 'BoardM Factory', 'Playte', '数寄ゲームズ (Suki Games)']",['Card Game']
114,Ransom,6.33625,15511,2,6,45,45,45,['(Self-Published)'],"['Abstract Strategy', 'Bluffing', 'City Building', 'Economic', 'Negotiation']"
115,I'm the Boss!,6.77159,1660,3,6,60,60,60,"['Eagle-Gryphon Games', 'Edge Entertainment', 'Face2Face Games', 'Kaissa Chess & Games', 'Korea Boardgames', 'New Games Order, LLC', 'Schmidt Spiele', 'Siam Board Games', 'Stratelibri', 'Swan Panasia Co., Ltd.']","['Economic', 'Negotiation']"
116,Guillotine,6.53889,1452,2,5,30,30,30,"['Wizards of the Coast', 'AMIGO', 'Darwin Project', 'Enigma (Bergsala Enigma)', 'Halloween Concept', 'Hasbro', 'Play Factory', 'PS-Games']","['Age of Reason', 'Card Game', 'Humor']"
117,Ta Yü,6.94843,2413,2,4,45,30,45,"['Crown & Andrews Ltd.', 'Goliath Games', 'KOSMOS', 'Rio Grande Games']",['Abstract Strategy']
118,Modern Art,7.50657,213,3,5,45,45,45,"['Hans im Glück', 'Arrakis Games', 'CMON Global Limited', 'DiceTree Games', 'Drosselmeyer & Co. Ltd.', 'Fractal Juegos', 'Galápagos Jogos', 'GeGe Co. Ltd.', 'Kaissa Chess & Games', 'Land of Beautiful Mind (سرزمین ذهن زیبا)', 'Lautapelit.fi', 'Lavka Games', 'Lighthouse Games', 'Matagot', 'Mayfair Games', 'New Games Order, LLC', 'Odysseia Jogos', 'Oink Games', 'Pegasus Spiele', 'Phantasia Co., Ltd', 'Rebel Sp. z o.o.', 'Wargames Club Publishing', 'WoodCat']","['Card Game', 'Economic']"
119,Kingdoms,6.66653,1654,2,4,45,45,45,"['Hans im Glück', 'ADC Blackfire Entertainment', 'Arclight Games', 'cutia.ro', 'Delta Vision Publishing', 'Edge Entertainment', 'Enigma (Bergsala Enigma)', 'Fantasmagoria', 'Fantasy Flight Games', 'Menart', 'Midgaard Games', 'MINDOK', 'Swan Panasia Co., Ltd.']","['Abstract Strategy', 'Fantasy', 'Medieval']"
120,Hoity Toity,6.51899,1963,2,5,45,45,45,"['alea', 'The Avalon Hill Game Co', 'F.X. Schmid', 'G&RRR', 'Gibsons', 'Jumbo', 'MIKA', 'Überplay', 'Vini-Spil']",['Bluffing']
121,Dune,7.59071,475,2,6,180,60,180,"['The Avalon Hill Game Co', 'Descartes Editeur', 'Hobby Japan']","['Bluffing', 'Fighting', 'Negotiation', 'Novel-based', 'Political', 'Science Fiction']"
122,Quo Vadis?,6.47558,2819,3,5,45,45,45,"['Hans im Glück', 'AMIGO', 'Mayfair Games']","['Ancient', 'Negotiation', 'Political']"
123,Green Thumb Cards,7.31034,Not Ranked,2,5,45,45,45,['Playful Minds'],['Card Game']
124,Primordial Soup,6.92262,1259,3,4,90,90,90,"['Doris & Frank', 'Z-Man Games']",['Prehistoric']
125,Money!,6.53672,2433,3,5,30,30,30,"['cosaic', 'Eagle-Gryphon Games', 'Egmont Polska', 'Fractal Juegos', 'GaGa Games', 'Goldsieber Spiele', 'Group SNE', 'Playte', 'Rio Grande Games', 'TWOPLUS Games', 'Wargames Club Publishing', '놀이속의세상']",['Card Game']
