id,username,yearregistered,lastlogin,country,geekfriends,geekfriends_total,guilds,guild_total
2366191,StanleyTwobrick,2019,2021-10-07,Australia,[],0,['3236'],1
26441,steamrunner,2004,2023-03-05,United States,"['beri', 'drewchap', 'JoeCthulhu', 'Konwacht', 'Skip Olivares', 'sos1']",6,[],0
936077,viol,2014,2024-04-22,Poland,[],0,[],0
2940385,chatshire,2021,2021-05-25,South Korea,[],0,[],0
1244522,Tadlette,2016,2024-02-16,United States,"['Bodicainking', 'j0nezn', 'katylou', 'Operadragon']",4,[],0
1556268,dobbymoodge,2017,2021-09-20,United States,[],0,[],0
3628367,Janamp,2023,2023-08-22,Spain,[],0,[],0
408172,AaronLancs,2011,2023-10-01,United Kingdom,[],0,[],0
1720558,turdblossum,2017,2024-06-21,United States,[],0,['3236'],1
2505594,Timatey,2020,2024-05-14,Russia,[],0,[],0
2534295,Amenadien,2020,2024-06-16,Italy,[],0,[],0
615523,Roundy,2012,2024-06-30,United Kingdom,[],0,"['1303', '1972']",2
3782980,Kiddykis,2024,2024-02-08,France,[],0,[],0
42497,e.e.goings,2004,2024-06-29,Canada,"['AbnRgr', 'Adrock69', 'Agamon', 'ArgusCat', 'Baagism', 'bigandy9255', 'Bixby', 'bk_otj', 'BluntForce', 'BmcCarthy', 'broggi', 'cadavaca', 'cgrice1', 'Cole Wehrle', 'echdareez', 'faqtotum', 'gamegrl2', 'gameskeepllc', 'Grendel', 'gugi', 'heidebrechtluke', 'hobbes2888', 'Howitzer_120mm', 'iklinck', 'ill6', 'J Davison', 'jduteau', 'jrebelo', 'J_3MBG', 'Kestril', 'Kilovolt', 'kkrieger', 'kohlhatter', 'kurt_purcell', 'Kwyjibo', 'kypros', 'ltmurnau', 'Magic Pink', 'maisnestce', 'mgaler', 'MGBM', 'Michael Becker', 'nichos', 'nickguay', 'Norbert Chan', 'Osirus', 'PatK', 'philoiz', 'PzVIE', 'randywombat', 'rarevos', 'refinery', 'Richard Breese', 'roberious', 'robert t', 'Robot_Invader', 'Scienxe', 'sfox', 'shadow9d9', 'Shadowsbane', 'spaceering', 'Super Secret Santa', 'tapestry', 'TGov', 'th3tick', 'thegamer', 'thethrax', 'Thrakkorzog', 'Thunder', 'tonyfryer', 'topherr', 'TrainsOnBrains', 'usagi-san', 'whynot66', 'WyoBadger', 'Xlyce', 'Zamboni', 'Zidane22222', 'Zopper-Alf']",79,"['130', '473', '477', '559', '979', '1303', '2044', '2081', '2708', '2842', '2888', '3078']",12
217679,massallian,2008,2024-06-30,Belgium,[],0,[],0
3504353,Vuxmo,2023,2023-03-25,Vietnam,[],0,[],0
3687579,MiguelDiazR,2023,2023-11-26,Chile,[],0,[],0
309389,Coren,2010,2024-06-30,United States,"['Bugaffi', 'dandechino', 'dave65tdh', 'drosing', 'jfales', 'jjacjackson', 'JJ_SD', 'p4warrior', 'thesmallman']",9,"['24', '909', '1145', '1191', '1449', '3236', '4130']",7
3482730,RealHighOne,2023,2023-03-01,Turkey,[],0,[],0
2356722,xKingNothingx,2019,2024-04-23,United States,[],0,[],0
3646350,Edwin0509,2023,2023-09-14,Hong Kong,[],0,[],0
3552189,Lydon_,2023,2023-06-09,South Africa,[],0,[],0
2261229,kmilo988,2019,2024-06-27,Colombia,[],0,['3570'],1
3811079,Rogofan,2024,2024-02-27,Czech Republic,[],0,[],0
1969236,Bjusterbaarlik,2018,2024-06-30,Netherlands,['talzaroff'],1,[],0
3620311,KarosShip,2023,2023-10-10,Estonia,[],0,[],0
446581,Mrpanicy,2011,2021-05-14,Canada,[],0,[],0
3576746,bobsyurunkle,2023,2023-07-13,Canada,[],0,[],0
1880947,lan512,2018,2024-06-08,Spain,[],0,[],0
2988959,koverito,2021,2024-06-30,Spain,[],0,[],0
1780042,henriquedsr989,2018,2024-06-30,Brazil,[],0,['1303'],1
3556893,D3estroyer,2023,2023-05-27,Brazil,[],0,[],0
866949,baurfamily,2014,2024-06-30,United States,[],0,[],0
738301,Lucyferis,2013,2021-04-29,Brazil,[],0,[],0
2134750,Dustybender,2019,2024-02-04,United States,"['lifeisahologram', 'MowgliMtnDog']",2,[],0
3187263,roffesen,2022,2024-06-27,Norway,[],0,[],0
3619876,RocketSeepidy,2023,2024-04-24,Spain,[],0,[],0
1418527,TiberiuA,2016,2024-06-29,Romania,['VeeTheBee'],1,[],0
3467322,evanpek87,2023,2024-01-26,United States,[],0,[],0
3301494,drewster419,2022,2024-05-27,United States,[],0,[],0
3119440,boardgamebanfan,2022,2024-06-26,Taiwan,[],0,[],0
3361251,erdist,2022,2024-06-26,Turkey,[],0,[],0
3874385,Tychondriel,2024,2024-06-30,Belgium,[],0,['1303'],1
3823243,Joyns27,2024,2024-03-29,United States,[],0,[],0
2870068,Kouras,2021,2023-06-07,Spain,[],0,[],0
3607132,ChiaMomogaming,2023,2023-07-30,United States,[],0,[],0
1456656,jgibbs1116,2016,2023-12-05,United States,['Ddancer1984'],1,['2122'],1
1755930,Fearbola,2018,2024-01-27,United States,[],0,[],0
3831678,timmeyy,2024,2024-03-20,Germany,[],0,[],0
3857186,shamwig,2024,2024-04-29,Chile,[],0,[],0
3873710,Dragonbornmodels,2024,2024-05-03,United States,[],0,[],0
2501575,cyc10ne,2020,2024-05-26,Ukraine,[],0,[],0
1300923,Ludotecaro,2016,2024-06-30,Italy,[],0,[],0
3597571,FabioHK,2023,2024-06-30,Brazil,[],0,[],0
3873186,kampkitsada110358,2024,2024-06-30,Thailand,[],0,[],0
3599592,Jasser_xd,2023,2023-07-20,Mexico,[],0,[],0
2881467,JunTsukiyomi,2021,2021-03-13,South Korea,[],0,[],0
988504,RollToNotDie,2014,2023-02-07,United States,[],0,[],0
2460537,Richius,2020,2024-06-28,Czech Republic,[],0,[],0
3816064,Karnstein75,2024,2024-06-22,Netherlands,[],0,[],0
411383,Vinicius Hero,2011,2024-06-30,Brazil,[],0,[],0
3712429,eftychia2023,2023,2023-11-27,United States,[],0,[],0
3226420,willys0,2022,2023-04-18,Sweden,[],0,[],0
1573004,budyenny,2017,2023-02-05,United Kingdom,[],0,[],0
3574288,Enigma_Games,2023,2023-06-19,United States,[],0,[],0
1905344,RocketRenee,2018,2024-04-24,United States,[],0,[],0
1248336,MrSodaPopinski,2016,2024-06-08,Canada,[],0,[],0
754345,bachtias,2013,2024-06-30,France,[],0,[],0
3707322,NeleS,2023,2023-11-22,Belgium,[],0,[],0
65056,Jako,2005,2024-06-28,United Kingdom,"['1000rpm', 'CaptainJax', 'EYE of NiGHT', 'Filmc', 'Grimwold', 'HamsterOfFury', 'haraggan', 'Yugblad']",8,"['117', '418']",2
757028,Broesph,2013,2024-06-17,United States,[],0,[],0
971817,cinderbike,2014,2024-04-05,United States,"['Ajax', 'edbolme', 'haemon', 'maelic001', 'MisterDrX']",5,"['24', '569', '830', '1622', '1858', '1922']",6
847631,tonkatsu,2014,2024-06-30,Japan,[],0,['3673'],1
3083578,bigtigg1522,2021,2024-05-29,United States,[],0,[],0
698824,Sometimesibreathe,2013,2021-12-09,United States,[],0,[],0
1619934,nobugada,2017,2024-02-18,Spain,[],0,[],0
1070529,RyojiKaji,2015,2024-01-26,Germany,[],0,[],0
3610704,Noahknowsahhgame,2023,2023-08-26,United States,[],0,[],0
3851829,tidou,2024,2024-04-09,France,[],0,[],0
3312591,theleoad,2022,2023-09-18,Brazil,[],0,[],0
161347,rolvtd,2007,2023-09-04,United States,"['ashram_bk', 'redcybot']",2,[],0
2887013,danny2021,2021,2021-03-19,Uruguay,[],0,[],0
525915,Christopher Olson,2012,2024-06-02,United States,[],0,[],0
11993,JohnnyData,2003,2023-10-15,United States,"['engdy', 'gamingguy', 'hobastian']",3,['1887'],1
1992220,sdschultz,2018,2021-04-13,United States,[],0,[],0
3533564,Bao_GGO,2023,2023-05-05,Hong Kong,[],0,[],0
